A13,A58,A51,A12,A30,A45,A5,A3,A35,A6,A9,A18,A46,A39,A52,A32,A43,A22,A23,A25,A44,A31,A28,A38,A37,A60,A59,A16,A54,A21,A26,A50,A1,A27,A57,A10,A19,A2,A7,A47,A61,A29,A17,A8,A33,target_label
0.0,1.0,0.0,0.0,0.0,0.0,25.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1295.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,bad
0.0,1.0,0.0,0.0,0.0,1.0,24.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,4308.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,bad
0.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1567.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,good
1.0,1.0,0.0,0.0,0.0,0.0,60.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,1.0,0.0,0.0,1199.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,bad
0.0,1.0,0.0,0.0,0.0,0.0,28.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1403.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,good
0.0,1.0,0.0,0.0,0.0,0.0,32.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,1.0,0.0,0.0,1282.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,bad
1.0,1.0,0.0,0.0,0.0,1.0,53.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,2424.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,good
0.0,1.0,0.0,0.0,0.0,0.0,25.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,8072.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,good
0.0,0.0,1.0,0.0,0.0,0.0,44.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,24.0,0.0,0.0,0.0,0.0,12579.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,bad
0.0,0.0,0.0,0.0,0.0,0.0,31.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,3430.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,good
1.0,0.0,0.0,0.0,0.0,0.0,48.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,2134.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,good
0.0,1.0,0.0,0.0,0.0,0.0,44.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2647.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,good
1.0,1.0,0.0,0.0,0.0,0.0,48.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,2241.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,good
1.0,1.0,0.0,0.0,0.0,1.0,44.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,1.0,0.0,0.0,0.0,1804.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,good
1.0,1.0,0.0,0.0,0.0,0.0,26.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,2069.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,good
0.0,0.0,0.0,0.0,0.0,0.0,36.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,1374.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,good
0.0,1.0,0.0,0.0,0.0,0.0,39.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,426.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,good
0.0,1.0,0.0,1.0,1.0,0.0,42.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,409.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,good
0.0,1.0,0.0,0.0,0.0,0.0,34.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2415.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,good
0.0,0.0,0.0,0.0,0.0,0.0,63.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,6836.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,bad
0.0,0.0,0.0,0.0,1.0,0.0,36.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1913.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,good
0.0,1.0,0.0,0.0,0.0,0.0,27.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,0.0,0.0,0.0,0.0,4020.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,good
0.0,0.0,0.0,0.0,0.0,0.0,30.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,18.0,1.0,0.0,0.0,0.0,5866.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,good
1.0,1.0,0.0,0.0,0.0,0.0,57.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,1264.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,good
0.0,0.0,0.0,0.0,0.0,1.0,33.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,1474.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,good
1.0,1.0,0.0,0.0,0.0,1.0,25.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,1.0,0.0,0.0,4746.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,bad
1.0,0.0,1.0,0.0,0.0,0.0,31.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,1.0,6110.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,good
0.0,1.0,0.0,0.0,0.0,0.0,37.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,1.0,0.0,2100.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,bad
0.0,0.0,0.0,0.0,0.0,0.0,37.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1225.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,good
0.0,1.0,0.0,0.0,0.0,0.0,24.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,458.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,good
0.0,1.0,0.0,0.0,0.0,0.0,30.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,2333.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,good
0.0,0.0,0.0,0.0,0.0,0.0,26.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1158.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,good
0.0,0.0,0.0,0.0,0.0,0.0,44.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0,0.0,6204.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,good
1.0,1.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,1.0,0.0,0.0,0.0,6187.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,good
1.0,1.0,1.0,0.0,0.0,0.0,58.0,4.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,48.0,0.0,1.0,0.0,0.0,6143.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,bad
1.0,1.0,0.0,0.0,0.0,0.0,35.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1393.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,good
0.0,1.0,0.0,0.0,0.0,0.0,39.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,2299.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,good
0.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,1352.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,good
1.0,1.0,0.0,0.0,0.0,1.0,39.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,7228.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,good
0.0,1.0,0.0,0.0,0.0,0.0,28.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,2073.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,good
0.0,1.0,0.0,0.0,0.0,1.0,29.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,1.0,0.0,0.0,2333.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,good
0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,27.0,0.0,0.0,0.0,0.0,5965.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,good
0.0,1.0,0.0,0.0,0.0,0.0,25.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1262.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,good
0.0,0.0,0.0,0.0,0.0,1.0,31.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,18.0,0.0,0.0,0.0,0.0,3378.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,good
0.0,0.0,1.0,0.0,0.0,0.0,57.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,2225.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,bad
0.0,1.0,0.0,1.0,0.0,0.0,26.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,1.0,0.0,0.0,783.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,good
0.0,0.0,0.0,0.0,0.0,0.0,52.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,6468.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,bad
1.0,1.0,0.0,0.0,0.0,0.0,31.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.0,0.0,0.0,0.0,0.0,9566.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,good
0.0,1.0,0.0,0.0,0.0,0.0,23.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.0,0.0,0.0,1.0,0.0,1961.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,good
1.0,0.0,0.0,0.0,0.0,0.0,23.0,4.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,1.0,0.0,0.0,6229.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,bad
0.0,0.0,0.0,0.0,0.0,0.0,27.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1391.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,good
1.0,0.0,0.0,0.0,0.0,0.0,50.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1537.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,good
0.0,0.0,1.0,0.0,0.0,0.0,61.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,1953.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,bad
0.0,0.0,0.0,0.0,0.0,0.0,25.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,14421.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,bad
0.0,0.0,0.0,0.0,0.0,1.0,26.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,3181.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,good
0.0,0.0,0.0,0.0,0.0,1.0,48.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,5190.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,good
0.0,1.0,0.0,0.0,0.0,0.0,29.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,2171.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,good
0.0,1.0,0.0,0.0,1.0,0.0,22.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1007.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,good
0.0,0.0,1.0,0.0,0.0,0.0,37.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,36.0,0.0,0.0,0.0,1.0,1819.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,bad
0.0,1.0,0.0,0.0,0.0,0.0,25.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,2394.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,good
0.0,1.0,0.0,0.0,0.0,1.0,30.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,36.0,0.0,0.0,0.0,0.0,8133.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,good
1.0,0.0,0.0,0.0,0.0,1.0,46.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,730.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,good
1.0,0.0,1.0,0.0,0.0,0.0,51.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1164.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,good
1.0,1.0,0.0,0.0,0.0,0.0,41.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,1.0,0.0,0.0,5954.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,good
0.0,0.0,0.0,0.0,0.0,0.0,40.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,1.0,1977.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,bad
